Naam bedrijf,Datum laatst gecontacteerd,Status,company_cleaned,UID
Nippon Gases Belgium,,,nippon gases belgium,PL583
Continental Automotive Benelux,,,continental automotive benelux,PL584
Caterpillar Distribution Services,,,caterpillar distribution services,PL585
Goed Farma,,,goed farma,PL586
Henco Industries,,,henco industries,PL587
Jumbo België,,,jumbo belgi,PL588
Niko,,,niko,PL589
Arlanxeo Belgium,,,arlanxeo belgium,PL590
Cleaning Masters,,,cleaning masters,PL591
Colas Belgium,,,colas belgium,PL592
Akzo Nobel Paints Belgium,,,akzo nobel paints belgium,PL593
Soprema,,,soprema,PL594
Trixolutions,,,trixolutions,PL595
BAM Interbuild,,,bam interbuild,PL596
Ordina Belgium,,,ordina belgium,PL597
Altrad Services,,,altrad services,PL598
DSV Road,,,dsv road,PL599
Eriks Belgium,,,eriks belgium,PL600
Cisco Systems Belgium,,,cisco systems belgium,PL601
Grand Opticiens Belgium,,,grand opticiens belgium,PL602
Toyota Material Handling Belgium,,,toyota material handling belgium,PL603
Etex Building Performance,,,etex building performance,PL604
Ericsson,,,ericsson,PL605
Veolia Environmental Services Belux,,,veolia environmental services belux,PL606
Gom,,,gom,PL607
Viabuild,,,viabuild,PL608
Prothya Biosolutions Belgium,,,prothya biosolutions belgium,PL609
Canon Belgium,,,canon belgium,PL610
DHL Supply Chain Belgium,,,dhl supply chain belgium,PL611
DEME Environmental,,,deme environmental,PL612
Arcadis Belgium,,,arcadis belgium,PL613
Biscuiterie Thijs,,,biscuiterie thijs,PL614
Wolters Kluwer Belgium,,,wolters kluwer belgium,PL615
OMP,,,omp,PL616
Prefaco,,,prefaco,PL617
Natra Malle,,,natra malle,PL618
CBRE GWS Belgium,,,cbre gws belgium,PL619
Strabag Belgium,,,strabag belgium,PL620
Safran Aircraft Engine Services,,,safran aircraft engine services,PL621
Van Moer Rail,,,van moer rail,PL622
Umami Catering,,,umami catering,PL623
Wimble Manufacturing Belgium,,,wimble manufacturing belgium,PL624
MBG,,,mbg,PL625
Iris Facility Solutions,,,iris facility solutions,PL626
Bank Nagelmackers,,,bank nagelmackers,PL627
Agfa HealthCare,,,agfa healthcare,PL628
Griffith Foods,,,griffith foods,PL629
DHL eCommerce (Belgium),,,dhl ecommerce belgium,PL630
Herbosch-Kiere,,,herboschkiere,PL631
Rituals Cosmetics Belgium,,,rituals cosmetics belgium,PL632
Sabena Aerospace Engineering,,,sabena aerospace engineering,PL633
Confiserie Leonidas,,,confiserie leonidas,PL634
Cigna International Health Services,,,cigna international health services,PL635
VF Europe,,,vf europe,PL636
Sonova Retail Belgium,,,sonova retail belgium,PL637
Krinkels,,,krinkels,PL638
Plus Home Services,,,plus home services,PL639
Honeywell,,,honeywell,PL640
W.H. Brady,,,wh brady,PL641
Goed Hulpmiddelen,,,goed hulpmiddelen,PL642
Unit-T,,,unitt,PL643
Bilfinger Industrial Services,,,bilfinger industrial services,PL644
Tarkett,,,tarkett,PL645
ST Engineering iDirect (Europe) CY,,,st engineering idirect europe cy,PL646
SERIS Security,,,seris security,PL647
Mourik,,,mourik,PL648
Pluxee Belgium,,,pluxee belgium,PL649
Ergon,,,ergon,PL650
Worley België,,,worley belgi,PL651
Mediafin,,,mediafin,PL652
Motrac,,,motrac,PL653
Lunch Garden,,,lunch garden,PL654
Telenet Retail,,,telenet retail,PL655
Duracell Batteries,,,duracell batteries,PL656
Het Agentschap,,,het agentschap,PL657
Procter & Gamble Manufacturing,,,procter  gamble manufacturing,PL658
Cas-Vos,,,casvos,PL659
Peeters OIW,,,peeters oiw,PL660
Biobest Group,,,biobest,PL661
Leen Bakker België,,,leen bakker belgi,PL662
Orange Cyberdefense Belgium,,,orange cyberdefense belgium,PL663
Up Time Groep,,,up time,PL664
Liantis EDPB,,,liantis edpb,PL665
Carpenter Engineered Foams Belgium,,,carpenter engineered foams belgium,PL666
Cohezio,,,cohezio,PL667
Devoteam,,,devoteam,PL668
PVH BRANDS BELGIUM,,,pvh brands belgium,PL669
KMDA,,,kmda,PL670
Dela Funerals Assistance 1,,,dela funerals assistance 1,PL671
Fiducre,,,fiducre,PL672
"KPMG Tax, Legal & Accountancy",,,kpmg tax legal  accountancy,PL673
Arvesta,,,arvesta,PL674
Vinçotte,,,vinotte,PL675
VINCI Facilities,,,vinci facilities,PL676
Konica Minolta Business Solutions,,,konica minolta business solutions,PL677
Belgian Icecream Group,,,belgian icecream,PL678
Hunkemöller Belgium,,,hunkemller belgium,PL679
Colfridis Logistics,,,colfridis logistics,PL680
AXI,,,axi,PL681
Swissport Cargo Services Belgium,,,swissport cargo services belgium,PL682
Verwater Tank & Industrial Services,,,verwater tank  industrial services,PL683
A.M.L.,,,aml,PL684
Brink's Solutions Belgium,,,brinks solutions belgium,PL685
CWS Hygiene België,,,cws hygiene belgi,PL686
Econocom Managed Services,,,econocom managed services,PL687
Burger Brands Belgium,,,burger brands belgium,PL688
Bilfinger ROB,,,bilfinger rob,PL689
Autoveiligheid,,,autoveiligheid,PL690
Computer Task Group Belgium,,,computer task  belgium,PL691
Cellcarta,,,cellcarta,PL692
Moore Finance & Tax,,,moore finance  tax,PL693
Axxes,,,axxes,PL694
Upthrust,,,upthrust,PL695
Jette Clean,,,jette clean,PL696
Biocartis,,,biocartis,PL697
CWS Workwear België,,,cws workwear belgi,PL698
Mobility Masters,,,mobility masters,PL699
Care,,,care,PL700
Otis,,,otis,PL701
Kela,,,kela,PL702
Dienstenbedrijf Easy Life,,,dienstenbedrijf easy life,PL703
Cheops Technology,,,cheops technology,PL704
Kaefer België,,,kaefer belgi,PL705
Hansen Industrial Transmissions,,,hansen industrial transmissions,PL706
Jan De Nul-Dredging,,,jan de nuldredging,PL707
Köse Cleaning,,,kse cleaning,PL708
ON Semiconductor Technology,,,on semiconductor technology,PL709
Pizza Belgium,,,pizza belgium,PL710
GXO Logistics Belgium,,,gxo logistics belgium,PL711
Instituut v. Tropische Geneeskunde,,,instituut v tropische geneeskunde,PL712
Logistics Kontich,,,logistics kontich,PL713
Hennes & Mauritz Logistics GBC,,,hennes  mauritz logistics gbc,PL714
MSC Shipping,,,msc shipping,PL715
Wibra België,,,wibra belgi,PL716
Iris Industry Solutions,,,iris industry solutions,PL717
Massimo Dutti Belux,,,massimo dutti belux,PL718
Greenyard Logistics Belgium,,,greenyard logistics belgium,PL719
Normec BTV,,,normec btv,PL720
Het GielsBos,,,het gielsbos,PL721
Protime,,,protime,PL722
CESI-Preventie & Bescherming,,,cesipreventie  bescherming,PL723
VGD Accountants en Belastingconsul.,,,vgd accountants en belastingconsul,PL724
ORANGE BUSINESS DIGITAL BELGIUM,,,orange business digital belgium,PL725
Borgerstein,,,borgerstein,PL726
USG Professionals,,,usg professionals,PL727
Verisure Security,,,verisure security,PL728
Trafuco,,,trafuco,PL729
24+,,,24,PL730
Crefius,,,crefius,PL731
Tupperware Belgium,,,tupperware belgium,PL732
Rob,,,rob,PL733
Infano,,,infano,PL734
Vlaanderen connect.,,,vlaanderen connect,PL735
Antea Belgium,,,antea belgium,PL736
Heder,,,heder,PL737
Exki,,,exki,PL738
ID Logistics Belgium,,,id logistics belgium,PL739
Securitas Transport Aviation Secur.,,,securitas transport aviation secur,PL740
Transnubel,,,transnubel,PL741
TMC Science & Technology,,,tmc science  technology,PL742
Nektari,,,nektari,PL743
Solutions 30 Field Services,,,solutions 30 field services,PL744
Natuurpunt Beheer,,,natuurpunt beheer,PL745
Wase Werkplaats VZW,,,wase werkplaats,PL746
DXC Field Delivery Belgium,,,dxc field delivery belgium,PL747
Start People België,,,start people belgi,PL748
Van Moer Distribution,,,van moer distribution,PL749
Takeaway.com Express Belgium,,,takeawaycom express belgium,PL750
Mivas,,,mivas,PL751
Ancco Dienstencheques,,,ancco dienstencheques,PL752
Dienstenthuis,,,dienstenthuis,PL753
Felies,,,felies,PL754
CMA CGM Belgium,,,cma cgm belgium,PL755
Bikhh,,,bikhh,PL756
ARHS Developments Belgium,,,arhs developments belgium,PL757
Ferm Huishoudhulp,,,ferm huishoudhulp,PL758
Multifunctioneel centrum De Hagewinde,,,multifunctioneel centrum de hagewinde,PL759
UZA,,,uza,PL760
Imperial Logistics International B.V. & Co. KG,,,imperial logistics international bv  co,PL761
Hamilton Bright Belgium,,,hamilton bright belgium,PL762
Emiliani VZW,,,emiliani,PL763
De Brug Maatwerkbedrijf,,,de brug maatwerkbedrijf,PL764
Loomis Belgium,,,loomis belgium,PL765
Trigion,,,trigion,PL766
Vivaldis Interim,,,vivaldis interim,PL767
PrimaHome,,,primahome,PL768
Vlinvesta NV,,,vlinvesta,PL769
de Comafin Group B.V.,,,de comafin,PL770
A.C.G.,,,acg,PL771
Impact Sales & Marketing Belux,,,impact sales  marketing belux,PL772
Pegode VZW,,,pegode,PL773
Maatwerkbedrijf B.W.Bouchout,,,maatwerkbedrijf bwbouchout,PL774
Arop VZW,,,arop,PL775
Bayer Agriculture,,,bayer agriculture,PL776
Aralea,,,aralea,PL777
Brightnet,,,brightnet,PL778
Le Comptoir Bruxellois,,,le comptoir bruxellois,PL779
CONTENTI,,,contenti,PL780
Dilito Europe BVBA,,,dilito europe,PL781
Aronia Digital Twin Group,,,aronia digital twin,PL782
Van Osta Home Service,,,van osta home service,PL783
Kaliber Interactive,,,kaliber interactive,PL784
FACOS VZW,,,facos,PL785
I.C.T.S. Europe,,,icts europe,PL786
Hasinto,,,hasinto,PL787
Aaxe-T.S.,,,aaxets,PL788
Whitewood,,,whitewood,PL789
Fenix Services,,,fenix services,PL790
Dnix,,,dnix,PL791
Comforthome,,,comforthome,PL792
ArcelorMittal Belgium,,,arcelormittal belgium,PL793
KBC Bank,,,kbc bank,PL794
Luminus,,,luminus,PL795
Versele-Laga,,,verselelaga,PL796
La Lorraine Bakery Group NV,,,la lorraine bakery,PL797
Parte,,,parte,PL798
Eutraco,,,eutraco,PL799
ENITEQ Engineering,,,eniteq engineering,PL800
Mint Tandartsen,,,mint tandartsen,PL801
KOCA VZW,,,koca,PL802
Poppies bakeries,,,poppies bakeries,PL803
VML,,,vml,PL804
Coca-Cola,,,cocacola,PL805
Xtra Works,,,xtra works,PL806
Reca Belux,,,reca belux,PL807
Anthony Cranes,,,anthony cranes,PL808
Grizzly Marketing,,,grizzly marketing,PL809
On IT BV,,,on it,PL810
Coolblue,,,coolblue,PL811
Vanheede Environmental Group,,,vanheede environmental,PL812
digi ,,,digi,PL813
Unmute- You,,,unmute you,PL814
Vialto Partners,,,vialto partners,PL815
Ufinity,,,ufinity,PL816
Gudrun,,,gudrun,PL817
Cummins,,,cummins,PL818
Tabaknatie,,,tabaknatie,PL819
The Harbour,,,the harbour,PL820
Mondelez International,,,mondelez international,PL821
Ecopower ,,,ecopower,PL822
Ajinomoto Omnichem ,,,ajinomoto omnichem,PL823
Dynapps,,,dynapps,PL824
Brepols ,,,brepols,PL825
Landmeterskantoor Van Eester,,,landmeterskantoor van eester,PL826
Welzijnszorg Kempen,,,welzijnszorg kempen,PL827
DC Dredging,,,dc dredging,PL828
Hansea,,,hansea,PL829
The Foodmaker,,,the foodmaker,PL830
Antenno,,,antenno,PL831
BDO,,,bdo,PL832
Tormans Group,,,tormans,PL833
Credon,,,credon,PL834
Allen & Overy,,,allen  overy,PL835
Plainsight,,,plainsight,PL836
Mobix,,,mobix,PL837
Bpost,,,bpost,PL838
Mediahuis,,,mediahuis,PL839
Farm Frites,,,farm frites,PL840
Bennet & Boss,,,bennet  boss,PL841
Agfa Gevaert,,,agfa gevaert,PL842
KA Contsruct,,,ka contsruct,PL843
Jeco Energies,,,jeco energies,PL844
Salesdrivers,,,salesdrivers,PL845
Hitachi Energy,,,hitachi energy,PL846
VITO,,,vito,PL847
SCK CEN,,,sck cen,PL848
Inovet,,,inovet,PL849
Sika Group,,,sika,PL850
Buildr,,,buildr,PL851
Loyens & Loeff,,,loyens  loeff,PL852
Mc Cain,,,mc cain,PL853
Aertssen,,,aertssen,PL854
Verpoucke,,,verpoucke,PL855
Banijay Belgium,,,banijay belgium,PL856
Greenyard Frozen Belgium,,,greenyard frozen belgium,PL857
Orfit,,,orfit,PL858
Ahlers,,,ahlers,PL859
AG Solution,,,ag solution,PL860
Ici Paris XL,,,ici paris xl,PL861
Enersee,,,enersee,PL862
